Table,Round,Player_Number1,Points1,Player_Number2,Points2,Player_Number3,Points3,Player_Number4,Points4
1,1,10,25,14,-36,6,-13,13,24
2,1,11,-10,7,-29,12,-32,4,71
3,1,3,-68,9,40,5,40,8,-12
1,2,8,-142,7,47,9,31,12,64
2,2,2,-28,13,-9,10,30,5,7
3,2,11,39,14,23,6,-14,1,-48
1,3,13,3,11,27,3,23,1,-53
2,3,14,13,2,-25,9,-13,4,25
3,3,7,0,8,13,10,-35,12,22
1,4,2,-33,13,53,5,-69,4,49
2,4,3,-56,9,51,1,-4,11,9
3,4,10,38,12,-24,14,-19,6,5
1,5,13,30,12,-5,6,-23,2,-2
2,5,1,13,8,5,11,50,7,-68
3,5,14,69,3,-30,5,-21,4,-18
1,6,6,-70,13,38,7,0,4,32
2,6,2,18,14,47,9,59,5,-124
3,6,3,-27,10,21,8,10,1,-4
1,7,10,-28,7,6,11,-6,6,28
2,7,1,38,5,-25,9,8,12,-21
3,7,3,20,8,-26,4,-25,2,31
