Table,Round,Player_Number1,Points1,Player_Number2,Points2,Player_Number3,Points3,Player_Number4,Points4
1,1,12,9,5,-11,6,-11,2,13
2,1,10,-5,8,-3,7,17,9,-9
3,1,4,-10,3,12,11,-6,1,4
2,2,3,-18,5,16,11,-8,8,10
1,2,4,16,10,-4,2,-4,9,-8
3,2,7,12,6,-14,12,-2,1,4
1,3,5,14,6,0,8,4,12,-18
3,3,7,17,3,-21,9,7,11,-3
2,3,2,-7,10,41,1,-11,4,-23
2,4,2,-4,11,-6,8,2,6,8
3,4,1,8,7,-4,12,-8,4,4
1,4,3,-5,10,-5,5,7,9,3
1,5,1,19,8,-17,3,-3,10,1
2,5,5,-9,6,-19,2,-3,4,31
3,5,12,11,7,-1,11,13,9,-23
1,6,11,-9,9,-5,8,13,6,1
2,6,1,-7,5,43,12,-29,10,-7
3,6,2,-10,7,-8,3,2,4,16
